FirstName LastName,Wheat,Paddy,Rubber,Maize
Hayden Ripley,1684,5697,NA,4326
Lucy Lakey,4846,5439,3290,8376
Daphne Long,7396,7305,6144,3042
Percy Torres,2518,2079,3853,3948
Vanessa Alldridge,318,1523,1675,4387
Jayden Rixon,NA,8800,NA,7606
Phillip Matthews,NA,6553,8379,8215
Brad Walton,4874,313,3066,150
Barry Scott,7703,NA,4084,8796
Tyler Benfield,NA,410,1145,1323
Angel Donovan,9860,7208,NA,9553
Ryan Bristow,7266,7806,6418,7848
Roger Nayler,5406,5044,8630,9686
Barney Butler,NA,6281,4284,7681
Carmella Allcott,NA,7786,9460,4631
Sharon Wright,NA,369,3238,7373
Josh Lunt,2906,2001,6352,6822
Kieth Jones,1509,3819,8106,492
Domenic Varley,4133,2688,3766,7539
Dorothy Preston,2728,7463,1286,445
Katelyn Farrow,1432,9179,NA,2642
Hank Poole,NA,5314,3143,8060
Mark Lewin,9408,5250,7358,NA
Oliver Goldsmith,9037,5672,6331,NA
Sabina Radley,NA,4303,4352,7523
Brooklyn Higgs,7504,NA,4996,NA
Russel Robe,8049,1398,233,4396
Ciara Silva,2599,NA,3583,1187
Ivy Groves,1405,2115,1692,2001
Peter Dickson,5944,NA,3146,8237
Jack Ballard,8982,5745,1766,7488
Denis Tindall,3568,NA,7773,7771
Zoe Emerson,4171,686,4093,5720
Nicholas Foxley,4790,81,7754,8044
Barney Blackburn,5664,2422,5838,1199
Mark Jeffery,1210,1815,7809,6220
Greta Ripley,6965,3485,7959,5423
Sebastian Stone,NA,8057,4069,7624
Henry Alcroft,7125,7433,7262,NA
Carter Lomax,9563,4547,8704,2700
Adelaide Tyler,1003,7390,6103,NA
Jacob Miller,5499,6424,2523,NA
Marina Thomson,6817,93,3297,8330
Nathan Simpson,3372,1069,9974,NA
Freya Johnson,5020,NA,3830,NA
Celia Donovan,6476,8503,52,3798
William Richards,3502,2071,1744,997
Sabrina Norburn,NA,8847,4287,3990
Gil Logan,4128,2391,9150,6741
Alma Moran,530,473,NA,8618
Kendra Lewis,4926,1927,4142,6101
Brad James,513,8920,3350,3760
Michael Bailey,644,NA,5716,8950
Luke Richards,4974,8254,NA,7730
Ryan Pearson,8086,5157,1503,181
Vicky Mould,654,5748,3542,3189
Felicity Yard,1046,5156,1527,164
Gil Warren,4592,3185,1776,1778
Carina Aldridge,2331,3887,7832,3572
Enoch Quinn,1417,5947,NA,2023
Wade Allen,5937,26,NA,9225
Josh Ainsworth,NA,4272,9241,9598
Marvin Bloom,NA,3193,3277,8089
Chuck Shepherd,1207,8319,9593,5836
Amy Reid,1462,NA,5002,NA
Adalie Allcott,5068,3780,NA,2079
Rachael Smith,NA,9453,6145,NA
Martha Pearson,3033,NA,6965,NA
Penelope Verdon,7924,4182,6145,4696
Alexander Styles,1948,725,6176,4679
Rocco Matthews,1367,8005,NA,NA
Carl Hall,6402,NA,5803,3162
Callie Stewart,NA,9782,3680,NA
Shelby Wallace,9510,2085,9170,401
Roger Kerr,8663,8569,5497,4630
Mackenzie Lewis,9004,3823,1033,9884
Rachael Holmes,3901,NA,158,8170
Nicholas Wright,9335,2036,9882,349
Johnathan Harris,4096,5025,6482,4134
Daphne Healy,5088,9165,9576,3673
Trisha Quinn,3225,2350,4541,6048
Ryan Jordan,2712,NA,7437,7062
Barney Edley,8167,9130,NA,6904
Carl Fenton,NA,6296,NA,886
Cynthia Fields,687,1810,NA,6549
Aiden Drew,3120,1715,2836,4302
Erick Cavanagh,NA,3950,360,855
Emma Mooney,7337,NA,7345,8310
Matthew Nelson,NA,1288,6071,4137
Zara Shields,8925,8997,5694,6502
Carter Poulton,4059,NA,5613,225
Henry Khan,4067,NA,1240,1297
John King,8709,NA,NA,5178
Hank Hepburn,9767,NA,332,8632
Denis Dann,NA,NA,NA,113
Ivette Olivier,2550,5556,7038,6432
Anne Clifford,NA,3541,2088,5370
Brad Jarvis,5150,NA,3339,3012
Nick Flynn,6554,NA,6094,9333
Anne Booth,129,5919,NA,3734
Jamie Lambert,49,6477,7001,8863
Anthony Craig,8328,3583,6916,1104
Maria Hancock,7264,NA,9753,953
Liv Ianson,8703,5960,NA,8332
Doug Irving,4860,NA,NA,1412
David Pierce,NA,2480,2339,1414
Selena Thorpe,9625,7511,NA,7074
Judith Randall,7370,NA,4620,3776
Javier Atkinson,5682,9995,NA,5061
Chuck James,4122,NA,2677,7412
Harriet Garner,4209,NA,776,7768
Bernadette Vallory,5814,7201,849,8687
Tyson Reyes,5785,NA,5559,4239
Dakota Robinson,9203,NA,9317,3750
Roger Vernon,1926,2667,5991,838
Lucas Clarke,3835,NA,NA,NA
Wade Janes,NA,8222,9849,7562
Emma Duvall,NA,NA,8276,4184
Joseph Wright,8110,3626,878,NA
Kieth Clark,775,4902,3891,5184
Harry Vincent,1974,NA,8447,1665
Danny Norman,1830,2691,8777,7073
Alan Eyres,5233,3154,7335,8487
Domenic Cork,NA,NA,5988,4370
Cedrick Cartwright,1221,2641,NA,9999
Manuel Oakley,425,3298,NA,NA
Sebastian Oakley,922,1813,3403,3155
Henry Warden,8534,935,9332,1248
Cedrick Doherty,3245,377,1425,5236
Marvin Middleton,NA,4025,6531,4185
Julia Shields,1826,3796,NA,2799
Sebastian Nobbs,NA,1993,3270,NA
Andie Ashley,4879,6103,1263,5985
Jaylene Smith,NA,2313,1415,4900
Melanie Whatson,1623,6838,NA,2396
Luke Hastings,9813,8372,1667,7581
Mike Grey,7693,7773,1943,6682
Chris Davies,7709,NA,740,6806
Hank Freeburn,8010,9565,NA,NA
Mya Tyler,1153,5585,NA,3555
Shay Kirby,995,8972,2288,NA
Ema Evans,9866,7686,4000,NA
Margot Snell,NA,NA,NA,2572
Dasha Shaw,17,NA,3252,NA
Daron Kelly,7767,3784,NA,8150
Anthony Rees,10,5361,4462,4889
Harry Ogilvy,6460,4218,2335,NA
Carmen Avery,8968,751,NA,4429
Ethan Addison,4698,4524,NA,5753
Bart Rowlands,NA,2686,3512,6666
Martha Richardson,7029,NA,8463,NA
Elijah Johnson,5451,7404,3578,9295
Manuel Powell,NA,2881,1353,NA
Lucas Plumb,5370,NA,1306,9050
Taylor Shields,9891,5636,6963,4360
